Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Quinton Byfield,20212022,LAK,L,R,40,5,5,10,-7,20,0.25,5,9,0,1,0,0,0,1,39,12.8,12:09,45.4,2002-08-19,Newmarket,ON,CAN,CAN,77,225,2020,1,2,20202021,N,Regular Season
Bowen Byram,20212022,COL,L,D,30,5,12,17,7,12,0.57,4,16,1,1,0,0,0,2,49,10.2,18:48,--,2001-06-13,Cranbrook,BC,CAN,CAN,73,205,2019,1,4,20202021,N,Regular Season
Paul Byron,20212022,MTL,L,L,27,4,3,7,-8,2,0.26,4,7,0,0,0,0,0,2,33,12.1,12:36,47.8,1989-04-27,Ottawa,ON,CAN,CAN,69,164,2007,6,179,20102011,N,Regular Season
Drake Caggiula,20212022,BUF,L,L,18,2,3,5,-4,4,0.28,2,4,0,1,0,0,0,1,23,8.7,14:38,25,1994-06-20,Pickering,ON,CAN,CAN,70,179,--,--,--,20162017,N,Regular Season
Kyle Capobianco,20212022,ARI,L,D,45,2,7,9,-12,38,0.2,1,7,1,2,0,0,1,1,40,5,16:00,--,1997-08-13,Mississauga,ON,CAN,CAN,75,198,2015,3,63,20172018,N,Regular Season
Michael Carcone,20212022,ARI,L,L,21,4,2,6,-8,14,0.29,4,6,0,0,0,0,0,0,36,11.1,12:19,0,1996-05-19,Ajax,ON,CAN,CAN,69,182,--,--,--,20212022,N,Regular Season
Brandon Carlo,20212022,BOS,R,D,79,6,9,15,2,31,0.19,5,13,0,1,1,1,0,0,125,4.8,19:42,--,1996-11-26,Colorado Springs,CO,USA,USA,77,220,2015,2,37,20162017,N,Regular Season
John Carlson,20212022,WSH,R,D,78,17,54,71,13,20,0.91,10,43,7,25,0,3,0,2,195,8.7,23:49,--,1990-01-10,Natick,MA,USA,USA,75,215,2008,1,27,20092010,N,Regular Season
Gabriel Carlsson,20212022,CBJ,L,D,38,2,7,9,6,10,0.24,2,9,0,0,0,0,0,0,18,11.1,12:16,--,1997-01-02,Orebro,--,SWE,SWE,77,195,2015,1,29,20162017,N,Regular Season
Lucas Carlsson,20212022,FLA,L,D,40,3,6,9,3,10,0.23,3,9,0,0,0,0,0,0,41,7.3,12:43,--,1997-07-05,Gavle,--,SWE,SWE,72,192,2016,4,110,20192020,N,Regular Season
Ryan Carpenter,20212022,"CHI,CGY",R,C,67,3,9,12,-11,36,0.18,3,11,0,1,0,0,0,2,67,4.5,12:35,51.6,1991-01-18,Oviedo,FL,USA,USA,73,198,--,--,--,20152016,N,Regular Season
Sam Carrick,20212022,ANA,R,C,64,11,8,19,-12,85,0.3,11,19,0,0,0,0,0,0,80,13.8,11:28,49.4,1992-02-04,Markham,ON,CAN,CAN,72,202,2010,5,144,20142015,N,Regular Season
Alexandre Carrier,20212022,NSH,R,D,77,3,27,30,26,50,0.39,2,25,1,4,0,1,0,0,95,3.2,20:59,0,1996-10-08,Quebec City,QC,CAN,CAN,71,174,2015,4,115,20162017,N,Regular Season
William Carrier,20212022,VGK,L,L,63,9,11,20,7,34,0.32,9,20,0,0,0,0,0,0,120,7.5,11:37,50,1994-12-20,LaSalle,QC,CAN,CAN,74,220,2013,2,57,20162017,N,Regular Season
Jeff Carter,20212022,PIT,R,C,76,19,26,45,-8,38,0.59,15,38,3,6,1,1,1,2,200,9.5,17:40,57,1985-01-01,London,ON,CAN,CAN,75,219,2003,1,11,20052006,N,Regular Season
Jackson Cates,20212022,PHI,L,C,11,1,0,1,-2,0,0.09,1,1,0,0,0,0,0,0,8,12.5,9:05,60.6,1997-09-26,Stillwater,MN,USA,USA,72,201,--,--,--,20202021,N,Regular Season
Noah Cates,20212022,PHI,L,L,16,5,4,9,4,4,0.56,4,8,1,1,0,0,0,1,23,21.7,13:15,0,1999-02-05,Stillwater,MN,USA,USA,74,194,2017,5,137,20212022,N,Regular Season
Cole Caufield,20212022,MTL,R,R,67,23,20,43,-24,10,0.64,18,30,5,13,0,0,2,3,188,12.2,16:41,50,2001-01-02,Mosinee,WI,USA,USA,68,175,2019,1,15,20202021,N,Regular Season
Cody Ceci,20212022,EDM,R,D,78,5,23,28,8,14,0.36,5,25,0,0,0,3,0,0,102,4.9,20:54,--,1993-12-21,Ottawa,ON,CAN,CAN,75,210,2012,1,15,20132014,N,Regular Season
Erik Cernak,20212022,TBL,R,D,55,1,12,13,7,46,0.24,1,13,0,0,0,0,0,0,86,1.2,19:09,--,1997-05-28,Kosice,--,SVK,SVK,76,230,2015,2,43,20182019,N,Regular Season
Thomas Chabot,20212022,OTT,L,D,59,7,31,38,-3,26,0.64,6,25,1,13,0,0,0,1,173,4.1,26:12,--,1997-01-30,Sainte-Marie,QC,CAN,CAN,73,203,2015,1,18,20162017,N,Regular Season
Mitchell Chaffee,20212022,MIN,R,R,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7:27,--,1998-01-26,Grand Rapids,MI,USA,USA,73,204,--,--,--,20212022,N,Regular Season
Zdeno Chara,20212022,NYI,L,D,72,2,12,14,8,85,0.19,2,14,0,0,0,0,0,0,81,2.5,18:44,--,1977-03-18,Trencin,--,SVK,SVK,81,250,1996,3,56,19971998,N,Regular Season
Jalen Chatfield,20212022,CAR,R,D,16,0,3,3,1,8,0.19,0,3,0,0,0,0,0,0,25,0,14:47,--,1996-05-15,Ypsilanti,MI,USA,USA,73,199,--,--,--,20202021,N,Regular Season
Ben Chiarot,20212022,"MTL,FLA",L,D,74,9,17,26,-14,48,0.35,7,22,2,3,0,1,1,1,143,6.3,22:51,--,1991-05-09,Hamilton,ON,CAN,CAN,75,224,2009,4,120,20132014,N,Regular Season
Alex Chiasson,20212022,VAN,R,R,67,13,9,22,4,24,0.33,7,12,6,10,0,0,0,2,98,13.3,11:37,43.5,1990-10-01,Montréal,QC,CAN,CAN,76,208,2009,2,38,20122013,N,Regular Season
Yegor Chinakhov,20212022,CBJ,L,R,62,7,7,14,-27,16,0.23,6,13,1,1,0,0,0,1,98,7.1,12:30,0,2001-02-01,Omsk,--,RUS,RUS,73,201,2020,1,21,20212022,N,Regular Season
Declan Chisholm,20212022,WPG,L,D,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,12:57,--,2000-01-12,Bowmanville,ON,CAN,CAN,73,190,2018,5,150,20212022,N,Regular Season
Sasha Chmelevski,20212022,SJS,R,C,19,0,8,8,2,4,0.42,0,8,0,0,0,0,0,0,31,0,13:11,39.2,1999-06-09,Huntington Beach,CA,USA,USA,72,188,2017,6,185,20202021,N,Regular Season
Dennis Cholowski,20212022,"WSH,SEA",L,D,11,0,3,3,-3,2,0.27,0,3,0,0,0,0,0,0,11,0,15:49,--,1998-02-15,Langley,BC,CAN,CAN,74,210,2016,1,20,20182019,N,Regular Season
Jake Christiansen,20212022,CBJ,L,D,8,1,0,1,1,0,0.13,1,1,0,0,0,0,0,0,4,25,9:46,--,1999-09-12,West Vancouver,BC,CAN,CAN,72,197,--,--,--,20212022,N,Regular Season
Jakob Chychrun,20212022,ARI,L,D,47,7,14,21,-20,47,0.45,6,20,1,1,0,0,1,2,141,5,23:00,--,1998-03-31,Boca Raton,FL,USA,CAN,74,205,2016,1,16,20162017,N,Regular Season
Filip Chytil,20212022,NYR,L,C,67,8,14,22,-1,14,0.33,8,21,0,1,0,0,0,1,135,5.9,13:11,43.4,1999-09-05,Kromeriz,--,CZE,CZE,74,210,2017,1,21,20172018,N,Regular Season
Anthony Cirelli,20212022,TBL,L,C,76,17,26,43,15,70,0.57,13,34,3,8,1,1,1,4,146,11.6,18:19,46.5,1997-07-15,Etobicoke,ON,CAN,CAN,73,191,2015,3,72,20172018,N,Regular Season
Casey Cizikas,20212022,NYI,L,C,74,10,6,16,-3,48,0.22,9,15,0,0,1,1,0,3,91,11,13:45,55.6,1991-02-27,Toronto,ON,CAN,CAN,71,194,2009,4,92,20112012,N,Regular Season
Fredrik Claesson,20212022,TBL,L,D,9,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,4,0,9:52,--,1992-11-24,Stockholm,--,SWE,SWE,73,196,2011,5,126,20152016,N,Regular Season
Kale Clague,20212022,"LAK,MTL",L,D,36,2,8,10,-10,20,0.28,2,7,0,3,0,0,0,0,26,7.7,16:44,--,1998-06-05,Regina,SK,CAN,CAN,72,190,2016,2,51,20192020,N,Regular Season
Kyle Clifford,20212022,"STL,TOR",L,L,25,1,3,4,-5,31,0.16,1,4,0,0,0,0,0,0,29,3.5,8:48,42.9,1991-01-13,Ayr,ON,CAN,CAN,74,218,2009,2,35,20102011,N,Regular Season
Connor Clifton,20212022,BOS,R,D,60,2,8,10,-2,32,0.17,2,10,0,0,0,0,0,0,80,2.5,16:04,--,1995-04-28,Matawan,NJ,USA,USA,71,195,2013,5,133,20182019,N,Regular Season
Cal Clutterbuck,20212022,NYI,R,R,59,6,9,15,-6,10,0.25,5,14,0,0,1,1,0,1,74,8.1,14:03,73.3,1987-11-18,Welland,ON,CAN,CAN,71,215,2006,3,72,20072008,N,Regular Season
Dylan Coghlan,20212022,VGK,R,D,59,3,10,13,-5,18,0.22,1,9,2,4,0,0,0,1,108,2.8,14:12,--,1998-02-19,Duncan,BC,CAN,CAN,74,208,--,--,--,20202021,N,Regular Season
Andrew Cogliano,20212022,"SJS,COL",L,C,74,4,12,16,-18,20,0.22,3,14,0,0,1,2,0,0,75,5.3,12:40,38.1,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,1,25,20072008,N,Regular Season
Ian Cole,20212022,CAR,L,D,75,2,17,19,15,83,0.25,2,18,0,0,0,1,0,1,77,2.6,17:09,--,1989-02-21,Ann Arbor,MI,USA,USA,73,237,2007,1,18,20102011,N,Regular Season
Blake Coleman,20212022,CGY,L,C,81,16,17,33,16,60,0.41,15,31,0,0,1,2,0,2,212,7.6,14:49,10.5,1991-11-28,Plano,TX,USA,USA,71,199,2011,3,75,20162017,N,Regular Season
Ross Colton,20212022,TBL,L,C,79,22,17,39,4,24,0.49,21,34,1,5,0,0,0,4,159,13.8,12:48,52.2,1996-09-11,Robbinsville,NJ,USA,USA,72,194,2016,4,118,20202021,N,Regular Season
Blake Comeau,20212022,DAL,R,L,6,1,0,1,-1,4,0.17,1,1,0,0,0,0,0,0,2,50,11:28,100,1986-02-18,Meadow Lake,SK,CAN,CAN,73,200,2004,2,47,20062007,N,Regular Season
J.T. Compher,20212022,COL,R,L,70,18,15,33,6,25,0.47,13,26,4,6,1,1,0,0,102,17.7,16:19,51.4,1995-04-08,Northbrook,IL,USA,USA,72,190,2013,2,35,20162017,N,Regular Season
Maxime Comtois,20212022,ANA,L,L,52,6,10,16,-17,46,0.31,6,14,0,2,0,0,0,0,72,8.3,14:08,47.8,1999-01-08,Longueuil,QC,CAN,CAN,74,210,2017,2,50,20182019,N,Regular Season
Kevin Connauton,20212022,"FLA,PHI",L,D,39,1,2,3,-3,4,0.08,1,3,0,0,0,0,0,0,30,3.3,13:05,--,1990-02-23,Edmonton,AB,CAN,CAN,74,205,2009,3,83,20132014,N,Regular Season
Brett Connolly,20212022,CHI,R,R,9,0,1,1,-3,15,0.11,0,1,0,0,0,0,0,0,6,0,8:24,--,1992-05-02,Campbell River,BC,CAN,CAN,75,198,2010,1,6,20112012,N,Regular Season
Kyle Connor,20212022,WPG,L,L,79,47,46,93,-3,4,1.18,36,62,8,28,3,3,1,9,317,14.8,21:47,14.3,1996-12-09,Shelby Township,MI,USA,USA,73,183,2015,1,17,20162017,N,Regular Season
Andrew Copp,20212022,"WPG,NYR",L,C,72,21,32,53,15,16,0.74,16,40,3,10,2,3,1,5,183,11.5,19:11,53.2,1994-07-08,Ann Arbor,MI,USA,USA,73,203,2013,4,104,20142015,N,Regular Season
Paul Cotter,20212022,VGK,L,C,7,2,0,2,1,6,0.29,2,2,0,0,0,0,0,0,11,18.2,8:49,0,1999-11-16,Canton,MI,USA,USA,74,213,2018,4,115,20212022,N,Regular Season
Nick Cousins,20212022,NSH,L,C,68,9,13,22,-8,31,0.32,6,18,3,4,0,0,0,1,103,8.7,12:28,46.9,1993-07-20,Belleville,ON,CAN,CAN,71,186,2011,3,68,20142015,N,Regular Season
Logan Couture,20212022,SJS,L,C,77,23,33,56,-11,18,0.73,16,36,5,17,2,3,1,3,199,11.6,18:56,48.7,1989-03-28,Guelph,ON,CAN,CAN,73,206,2007,1,9,20092010,N,Regular Season
Sean Couturier,20212022,PHI,L,C,29,6,11,17,-6,14,0.59,4,11,2,5,0,1,0,2,79,7.6,20:24,55.6,1992-12-07,Phoenix,AZ,USA,CAN,76,210,2011,1,8,20112012,N,Regular Season
Charlie Coyle,20212022,BOS,R,C,82,16,28,44,-6,32,0.54,13,34,3,9,0,1,2,5,131,12.2,17:24,49.1,1992-03-02,East Weymouth,MA,USA,USA,75,215,2010,1,28,20122013,N,Regular Season
Dylan Cozens,20212022,BUF,R,C,79,13,25,38,-19,55,0.48,11,28,2,9,0,1,0,1,160,8.1,15:54,45.6,2001-02-09,Whitehorse,YT,CAN,CAN,75,207,2019,1,7,20202021,N,Regular Season
Joseph Cramarossa,20212022,MIN,L,C,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,1,0,6:55,--,1992-10-26,Markham,ON,CAN,CAN,73,190,2011,3,65,20162017,N,Regular Season
Kyle Criscuolo,20212022,DET,R,C,6,0,2,2,1,2,0.33,0,2,0,0,0,0,0,0,5,0,9:33,30.8,1992-05-05,Southampton,NJ,USA,USA,69,175,--,--,--,20172018,N,Regular Season
Sidney Crosby,20212022,PIT,L,C,69,31,53,84,19,32,1.22,23,54,8,30,0,0,1,9,208,14.9,19:58,52.4,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,1,1,20052006,N,Regular Season
Lawson Crouse,20212022,ARI,L,L,65,20,14,34,-9,52,0.52,16,26,3,7,1,1,0,4,131,15.3,17:26,33.3,1997-06-23,Mt. Brydges,ON,CAN,CAN,76,214,2015,1,11,20162017,N,Regular Season
Austin Czarnik,20212022,"NYI,SEA",R,C,17,2,5,7,5,0,0.41,2,7,0,0,0,0,0,0,14,14.3,10:54,39,1992-12-12,Detroit,MI,USA,USA,69,170,--,--,--,20162017,N,Regular Season
Kirby Dach,20212022,CHI,R,C,70,9,17,26,-18,43,0.37,7,19,2,6,0,1,0,0,116,7.8,18:03,32.8,2001-01-21,Fort Saskatchewan,AB,CAN,CAN,76,221,2019,1,3,20192020,N,Regular Season
Evgenii Dadonov,20212022,VGK,L,R,78,20,23,43,4,18,0.55,15,35,5,8,0,0,2,4,177,11.3,15:49,20,1989-03-12,Chelyabinsk,--,RUS,RUS,71,188,2007,3,71,20092010,N,Regular Season
Jonathan Dahlen,20212022,SJS,L,C,61,12,10,22,-25,12,0.36,9,15,3,7,0,0,0,2,105,11.4,13:48,0,1997-12-20,Ostersund,--,SWE,SWE,71,180,2016,2,42,20212022,N,Regular Season
Rasmus Dahlin,20212022,BUF,L,D,80,13,40,53,-22,68,0.66,10,31,3,21,0,1,1,3,170,7.7,24:01,--,2000-04-13,Lidkoping,--,SWE,SWE,75,204,2018,1,1,20182019,N,Regular Season
Carl Dahlstrom,20212022,TOR,L,D,3,0,2,2,2,2,0.67,0,2,0,0,0,0,0,0,4,0,13:39,--,1995-01-28,Stockholm,--,SWE,SWE,76,231,2013,2,51,20172018,N,Regular Season
Michael Dal Colle,20212022,NYI,L,L,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,14:34,--,1996-06-20,Woodbridge,ON,CAN,CAN,75,195,2014,1,5,20172018,N,Regular Season
Zac Dalpe,20212022,FLA,R,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,6:08,25,1989-11-01,Paris,ON,CAN,CAN,73,194,2008,2,45,20102011,N,Regular Season
Riley Damiani,20212022,DAL,R,C,7,1,1,2,0,2,0.29,1,2,0,0,0,0,0,0,10,10,8:32,50,2000-03-20,Mississauga,ON,CAN,CAN,70,181,2018,5,137,20212022,N,Regular Season
Phillip Danault,20212022,LAK,L,C,79,27,24,51,14,38,0.65,25,44,2,4,0,3,0,5,194,13.9,18:08,53.6,1993-02-24,Victoriaville,QC,CAN,CAN,73,200,2011,1,26,20142015,N,Regular Season
Justin Danforth,20212022,CBJ,R,R,45,10,4,14,-5,10,0.31,10,13,0,1,0,0,0,1,72,13.9,12:34,53.8,1993-03-15,Oshawa,ON,CAN,CAN,68,188,--,--,--,20212022,N,Regular Season
Laurent Dauphin,20212022,MTL,L,C,38,4,8,12,-10,25,0.32,4,12,0,0,0,0,0,0,50,8,13:18,42.1,1995-03-27,Repentigny,QC,CAN,CAN,72,186,2013,2,39,20152016,N,Regular Season
Jeremy Davies,20212022,NSH,L,D,6,0,2,2,-5,2,0.33,0,2,0,0,0,0,0,0,5,0,12:15,--,1996-12-04,Sainte-Anne-de-Bellevue,QC,CAN,CAN,71,185,2016,7,192,20202021,N,Regular Season
Sean Day,20212022,TBL,L,D,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,10:43,--,1998-01-09,Leuven,--,BEL,CAN,75,225,2016,3,81,20212022,N,Regular Season
Calvin de Haan,20212022,CHI,L,D,69,4,4,8,-21,33,0.12,4,8,0,0,0,0,0,0,107,3.7,18:57,--,1991-05-09,Carp,ON,CAN,CAN,73,192,2009,1,12,20112012,N,Regular Season
Chase De Leo,20212022,NJD,L,L,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,8:09,0,1995-10-25,La Mirada,CA,USA,USA,69,186,2014,4,99,20152016,N,Regular Season
Tony DeAngelo,20212022,CAR,R,D,64,10,41,51,30,56,0.8,8,31,2,20,0,0,0,2,151,6.6,19:49,--,1995-10-24,Sewell,NJ,USA,USA,71,180,2014,1,19,20162017,N,Regular Season
Alex DeBrincat,20212022,CHI,R,R,82,41,37,78,-13,19,0.95,27,50,14,28,0,0,4,6,270,15.2,20:51,37.5,1997-12-18,Farmington Hills,MI,USA,USA,68,180,2016,2,39,20172018,N,Regular Season
Jake DeBrusk,20212022,BOS,L,L,77,25,17,42,6,10,0.55,22,38,3,4,0,0,2,8,184,13.6,15:02,45.5,1996-10-17,Edmonton,AB,CAN,CAN,73,198,2015,1,14,20172018,N,Regular Season
Danny DeKeyser,20212022,DET,L,D,59,0,11,11,-8,26,0.19,0,11,0,0,0,0,0,0,57,0,18:30,--,1990-03-07,Detroit,MI,USA,USA,75,183,--,--,--,20122013,N,Regular Season
Michael Del Zotto,20212022,OTT,L,D,26,3,10,13,-4,4,0.5,2,11,1,2,0,0,0,0,35,8.6,18:15,--,1990-06-24,Stouffville,ON,CAN,CAN,72,195,2008,1,20,20092010,N,Regular Season
Ty Dellandrea,20212022,DAL,R,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,10:37,33.3,2000-07-21,Port Perry,ON,CAN,CAN,74,190,2018,1,13,20202021,N,Regular Season
Dylan DeMelo,20212022,WPG,R,D,76,1,12,13,10,28,0.17,0,11,0,0,1,2,0,0,78,1.3,18:30,--,1993-05-01,London,ON,CAN,CAN,73,194,2011,6,179,20152016,N,Regular Season
Grigori Denisenko,20212022,FLA,R,L,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,15:30,--,2000-06-24,Novosibirsk,--,RUS,RUS,71,198,2018,1,15,20202021,N,Regular Season
Travis Dermott,20212022,"TOR,VAN",L,D,60,2,5,7,9,14,0.12,2,7,0,0,0,0,0,1,46,4.4,15:20,--,1996-12-22,Newmarket,ON,CAN,CAN,72,200,2015,2,34,20172018,N,Regular Season
Nicolas Deslauriers,20212022,"ANA,MIN",L,L,81,8,5,13,-11,113,0.16,7,12,0,0,1,1,0,1,90,8.9,11:22,25,1991-02-22,LaSalle,QC,CAN,CAN,73,218,2009,3,84,20132014,N,Regular Season
Connor Dewar,20212022,MIN,L,C,35,2,4,6,-4,25,0.17,2,5,0,1,0,0,0,1,44,4.6,9:54,46.6,1999-06-26,The Pas,MB,CAN,CAN,70,192,2018,3,92,20212022,N,Regular Season
Jason Dickinson,20212022,VAN,L,C,62,5,6,11,-1,19,0.18,5,11,0,0,0,0,0,0,66,7.6,13:03,42.6,1995-07-04,Georgetown,ON,CAN,CAN,74,200,2013,1,29,20152016,N,Regular Season
Brenden Dillon,20212022,WPG,L,D,79,3,17,20,16,67,0.25,3,20,0,0,0,0,0,0,85,3.5,18:50,--,1990-11-13,New Westminster,BC,CAN,CAN,76,225,--,--,--,20112012,N,Regular Season
Cam Dineen,20212022,ARI,L,D,34,0,7,7,-16,4,0.21,0,7,0,0,0,0,0,0,52,0,15:38,--,1998-06-19,Toms River,NJ,USA,USA,71,188,2016,3,68,20212022,N,Regular Season
Noah Dobson,20212022,NYI,R,D,80,13,38,51,-3,18,0.64,10,29,3,22,0,0,1,4,190,6.8,21:28,--,2000-01-07,Summerside,PE,CAN,CAN,76,200,2018,1,12,20192020,N,Regular Season
Max Domi,20212022,"CBJ,CAR",L,C,72,11,28,39,10,55,0.54,11,35,0,4,0,0,0,1,104,10.6,13:02,45.4,1995-03-02,Winnipeg,MB,CAN,CAN,70,209,2013,1,12,20152016,N,Regular Season
Ryan Donato,20212022,SEA,L,C,74,16,15,31,-13,40,0.42,15,30,1,1,0,0,0,2,159,10.1,13:48,39.5,1996-04-09,Boston,MA,USA,USA,72,190,2014,2,56,20172018,N,Regular Season
Joonas Donskoi,20212022,SEA,R,R,75,2,20,22,-10,14,0.29,2,18,0,3,0,1,0,0,89,2.3,14:50,35.7,1992-04-13,Raahe,--,FIN,FIN,72,185,2010,4,99,20152016,N,Regular Season
Pavel Dorofeyev,20212022,VGK,L,L,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,1,0,6:30,--,2000-10-26,Nizhny Tagil,--,RUS,RUS,73,194,2019,3,79,20212022,N,Regular Season
Drew Doughty,20212022,LAK,R,D,39,7,24,31,4,30,0.79,3,18,4,13,0,0,0,1,99,7.1,25:44,--,1989-12-08,London,ON,CAN,CAN,73,210,2008,1,2,20082009,N,Regular Season
Nic Dowd,20212022,WSH,R,C,64,10,14,24,10,44,0.38,9,22,0,1,1,1,0,0,90,11.1,14:16,53.7,1990-05-27,Huntsville,AL,USA,USA,73,193,2009,7,198,20152016,N,Regular Season
Justin Dowling,20212022,VAN,L,C,22,2,2,4,-3,2,0.18,2,4,0,0,0,0,0,0,17,11.8,9:35,52.5,1990-10-01,Calgary,AB,CAN,CAN,70,180,--,--,--,20162017,N,Regular Season
Leon Draisaitl,20212022,EDM,L,C,80,55,55,110,17,40,1.38,30,68,24,41,1,1,1,11,278,19.8,22:21,53.4,1995-10-27,Cologne,--,DEU,DEU,74,209,2014,1,3,20142015,N,Regular Season
Hunter Drew,20212022,ANA,R,D,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,--,9:52,--,1998-10-21,Kingston,ON,CAN,CAN,74,191,2018,6,178,20212022,N,Regular Season
Sheldon Dries,20212022,VAN,L,C,11,2,1,3,-3,0,0.27,1,2,1,1,0,0,0,1,17,11.8,10:18,33.3,1994-04-23,Macomb,MI,USA,USA,69,180,--,--,--,20182019,N,Regular Season
Jonathan Drouin,20212022,MTL,L,L,34,6,14,20,-9,23,0.59,6,16,0,4,0,0,0,0,62,9.7,17:06,47,1995-03-28,Ste-Agathe,QC,CAN,CAN,71,198,2013,1,3,20142015,N,Regular Season
Jack Drury,20212022,CAR,L,C,2,2,0,2,3,2,1,2,2,0,0,0,0,0,0,6,33.3,15:58,80,2000-02-03,New York,NY,USA,USA,71,186,2018,2,42,20212022,N,Regular Season
Jamie Drysdale,20212022,ANA,R,D,81,4,28,32,-26,16,0.4,4,20,0,12,0,0,1,1,137,2.9,19:53,--,2002-04-08,Toronto,ON,CAN,CAN,71,185,2020,1,6,20202021,N,Regular Season
Dillon Dube,20212022,CGY,L,C,79,18,14,32,1,20,0.41,15,26,2,3,1,3,0,1,143,12.6,12:50,47.4,1998-07-20,Golden,BC,CAN,CAN,71,185,2016,2,56,20182019,N,Regular Season
Pierre-Luc Dubois,20212022,WPG,L,L,81,28,32,60,-6,106,0.74,13,41,15,19,0,0,1,6,233,12,18:55,46.9,1998-06-24,Ste-Agathe-des-Monts,QC,CAN,CAN,76,225,2016,1,3,20172018,N,Regular Season
Matt Duchene,20212022,NSH,L,C,78,43,43,86,6,38,1.1,27,57,16,29,0,0,3,6,228,18.9,19:01,54.1,1991-01-16,Haliburton,ON,CAN,CAN,71,212,2009,1,3,20092010,N,Regular Season
Anthony Duclair,20212022,FLA,L,L,74,31,27,58,19,30,0.78,22,37,9,21,0,0,1,5,167,18.6,15:00,50,1995-08-26,Pointe-Claire,QC,CAN,CAN,72,200,2013,3,80,20142015,N,Regular Season
Walker Duehr,20212022,CGY,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,8:47,--,1997-11-23,Sioux Falls,SD,USA,USA,74,210,--,--,--,20212022,N,Regular Season
Brandon Duhaime,20212022,MIN,L,R,80,6,11,17,-2,122,0.21,6,17,0,0,0,0,0,1,91,6.6,10:13,28.6,1997-05-22,Coral Springs,FL,USA,USA,74,200,2016,4,106,20212022,N,Regular Season
Mathew Dumba,20212022,MIN,R,D,57,7,20,27,9,47,0.47,6,22,1,5,0,0,0,1,116,6,23:06,--,1994-07-25,Regina,SK,CAN,CAN,73,185,2012,1,7,20132014,N,Regular Season
Brian Dumoulin,20212022,PIT,L,D,76,3,15,18,24,24,0.24,3,18,0,0,0,0,0,0,91,3.3,21:49,--,1991-09-06,Biddeford,ME,USA,USA,76,214,2009,2,51,20132014,N,Regular Season
Vince Dunn,20212022,SEA,L,D,73,7,28,35,-21,63,0.48,5,24,2,11,0,0,0,0,121,5.8,20:41,--,1996-10-29,Mississauga,ON,CAN,CAN,72,200,2015,2,56,20172018,N,Regular Season
Sean Durzi,20212022,LAK,R,D,64,3,24,27,-9,55,0.42,1,11,2,15,0,1,0,0,119,2.5,19:36,--,1998-10-21,Mississauga,ON,CAN,CAN,73,196,2018,2,52,20212022,N,Regular Season
Christian Dvorak,20212022,MTL,L,C,56,11,22,33,-19,24,0.59,10,28,1,5,0,0,0,1,87,12.6,17:22,56.7,1996-02-02,Palos,IL,USA,USA,73,190,2014,2,58,20162017,N,Regular Season
Ryan Dzingel,20212022,"ARI,SJS",L,C,32,5,3,8,-5,35,0.25,5,8,0,0,0,0,0,1,32,15.6,13:43,42.5,1992-03-09,Wheaton,IL,USA,USA,72,190,2011,7,204,20152016,N,Regular Season
Cody Eakin,20212022,BUF,L,C,69,4,8,12,-15,22,0.17,3,9,1,2,0,1,0,1,74,5.4,13:35,56.1,1991-05-24,Winnipeg,MB,CAN,CAN,72,196,2009,3,85,20112012,N,Regular Season
Jordan Eberle,20212022,SEA,R,R,79,21,23,44,-28,14,0.56,17,35,4,9,0,0,0,2,164,12.8,17:57,30,1990-05-15,Regina,SK,CAN,CAN,71,180,2008,1,22,20102011,N,Regular Season
Alexander Edler,20212022,LAK,L,D,41,3,16,19,18,34,0.46,3,18,0,0,0,1,0,1,54,5.6,18:28,--,1986-04-21,Ostersund,--,SWE,SWE,76,210,2004,3,91,20062007,N,Regular Season
Joel Edmundson,20212022,MTL,L,D,24,3,3,6,-1,35,0.25,3,6,0,0,0,0,0,0,32,9.4,19:35,--,1993-06-28,Brandon,MB,CAN,CAN,77,221,2011,2,46,20152016,N,Regular Season
Nikolaj Ehlers,20212022,WPG,L,L,62,28,27,55,18,20,0.89,24,46,4,9,0,0,1,2,245,11.4,18:04,66.7,1996-02-14,Aalborg,--,DNK,DNK,72,172,2014,1,9,20152016,N,Regular Season
